"","text"
"1","rt    draining swamp   taxpayer dollars   trips  advertise  properties  "
"2","icymi hackers rig fm radio stations  play antitrump song  "
"3"," protests lgbtq rally   york   bbcworld via "
"4","hi im piers morgan david beckham  awful     ok"
"5","rt  tech firm suing buzzfeed  publishing unverified  dossier   "
"6","alec baldwin returns    snl   evil bannon  actually president    "
"7","republicans    "
"8","rt    obama bush    world  "
"9"," federal appeals court  refused  immediately reinstate  travel ban  people   ap via "
"10","court denies  request  immediately restore travel ban "
"11","rt   day   attacking  federal judges allegiance   country    morally equating america  revanchist russia"
"12"," putin   russians     shadows  disrupt  election     openly supported  commonsense"
"13","rt     roman posters antipapal blowback  parallels  pope francis    "
"14","rt  whoa look   found   judge  blocked  travel ban  "
"15"," fumes vows  act  judge lifts travel ban via  "
"16","opinion   reality    presidency  "
"17"," orleans trends   super bowl hall  fame nola saints "
"18","rt  thank  socalled president  ive  struggling   weeks    call    tweet   "
"19","rt  gotta  todays  cartoon  travelban democracy constitution "
"20","crowdfunding  publicinterest lawsuits        time   presidency "
"21","rt       forget  pepsi   supporters "
"22","rt    targeting    million people  deportation "
"23","     pop  shop  exchange    memes amp   distribution center   ones       feel "
"24"," doubles   respect  putin  saying   killers     leader sad sad sad "
"25","rt      disingenuous   shock  seeing   corners   left      gonna   warmonger"
"26","fresno trends  justice department iran berkeley  "
"27","rt  constitutional crisis  happens   decides  ignore  judges ruling  "
"28","rt  repeat      wouldnt accept    democrat  shouldnt accept   "
"29","federal appeals court denies president  request  immediately restore travelban  "
"30","rt  update  misleading info   mosque shooter   spread    jr via  fox news sho "
"31","rt      government waste   theresistance "
"32","rt   retweetu    happy  president    administrations performance    kicking butt  tak "
"33","  united  national security    concern    stopped   tweeting eons ago"
"34","rt   appeals court refuses departmentofjustices emergency appeal  reinstate president  travelban"
"35","rt  gotta  todays  cartoon  travelban democracy constitution "
"36","rt  remember         generals    seriously  literally "
"37","rt   question     time energy  political     wh  expend  trying    muslimban reinstated"
"38","rt  yes sir     people    threat  democracy    million      completel "
"39","rt  retweet      people  stand    pet nazi steve bannon "
"40","rt           trips   properties generate income   president  kids di "
"41","rt  takeaway        wrong   engaging  mass killing     likes   views   acceptable preferable"
"42","   bonechilling tweet "
"43","rt  please follow   facebook       illegitimate president    "
"44","rt  kristen stewart taking      homophobes       saved  play    funeral "
"45","revolt   federal workers hold secret meetings  encryption  express dissent "
"46","  twice  loser stop  ban unconstitutional "
"47","seattle trends   super bowl kenny easley hall  fame judge robart "
"48","rt  protrump rally   tower nyc sunday feb   noon   participating  please retweet "
"49","rt  rt   youre gay  hate    die  yuri  ice     "
"50","toronto trends  toronto  islamophobia iran conservative "
"51","rt  experts social media giants fight  antiterror plan  providing platform  terrorists   "
"52","rt  white ppl heard build  wall  aint   fucks   else    look yall jobless taxe "
"53","rt   federal appeals court denied   governments initial request  resume president   travel ban "
"54","rt   war  iran     costly  americafirst  iraq war    sanctions russia syria putin "
"55","rt  female mps  boycott    addresses houses  parliament "
"56","rt   response  president  travel ban iran  barred  united  wrestling team   world cup "
"57","rt  washington judge  stalled  immigrationban  highly regarded gop appointee  "
"58","rt  appeals court denies  request  immediately reinstate travel ban "
"59","rt    snl goes    trending  snl    political sketches    past    youre  noticing"
"60","  originally     joke  try  force change   gop glad     "
"61","rt      kcrw  friday    regulation preventing banks  lending   friends  tr "
"62","rt   administration strips animal rights safeguards pets  atrisk  "
"63","chinas secret  card  beijing deprive  military  critical defense components "
"64","fascinating  agree    free  cnn  cover  presidency   effectively "
"65","    mean  wouldnt concede    sore lose       "
"66","rt   putin   killer     seen     national debt   nails  pen "
"67","barbershop convo  survive freundel  chris wtf       youz  idiot   wus ppl dan  hay evry day hay"
"68","rt   team     superbowl   candidate   win  election   maga gop "
"69","rt  impeach unconstitutional activist judge  travel ban totally legal totally    country "
"70","rt   leftwing appeals court  nation denies  request  reinstate travel ban  maga trumptrain americafirst"
"71"," people  rsvping   inauguration   hilarious  "
"72","  federal judge vs  travel ban "
"73","rt  theresistance impeachtrump  texas rep joaquin castro charges forward  talk  impeaching   via "
"74","rt  president    create   hate   libs  exposed        angry mob  people"
"75","   doesnt   cardiac arrest  stroke       maybe    healthiest president"
"76","rt  trumptrain   comes   sent  strike force  chicago  "
"77","rt    wed   warning   campaign   wouldnt respect  independent judiciary "
"78","rt  gotta  todays  cartoon  travelban democracy constitution "
"79","  business owner   plans   businesses copyright  npr    visit "
